Player,Nation,Pos,Age,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen
Robert Sánchez,es ESP,GK,24-151,1068,1362,14,0,0
Marc Cucurella,es ESP,DF,23-270,96,614,1036,791,51
Leandro Trossard,be BEL,"FW,MF",27-135,14,153,548,791,149
Joël Veltman,nl NED,DF,30-093,151,690,862,393,24
Neal Maupay,fr FRA,FW,25-247,8,50,331,465,122
Lewis Dunk,eng ENG,DF,30-148,248,1033,815,72,23
Yves Bissouma,ml MLI,MF,25-231,84,368,759,263,15
Pascal Groß,de GER,"MF,DF",30-307,39,219,567,537,41
Jakub Moder,pl POL,"MF,FW",23-011,40,203,436,484,68
Adam Lallana,eng ENG,MF,33-343,44,283,614,274,38
Alexis Mac Allister,ar ARG,"MF,FW",23-115,32,183,518,454,39
Tariq Lamptey,eng ENG,"DF,FW",21-200,36,212,373,490,42
Shane Duffy,ie IRL,DF,30-107,193,722,468,61,26
Adam Webster,eng ENG,DF,27-104,105,573,559,104,11
Solly March,eng ENG,"DF,FW",27-272,37,132,280,443,63
Dan Burn,eng ENG,DF,29-344,100,391,362,64,12
Danny Welbeck,eng ENG,"FW,MF",31-143,11,26,117,189,58
Enock Mwepu,zm ZAM,"MF,FW",24-107,22,93,222,152,30
Steven Alzate,co COL,MF,23-222,16,81,168,56,4
Moisés Caicedo,ec ECU,MF,20-167,3,13,39,25,4
Aaron Connolly,ie IRL,FW,22-080,0,0,14,21,4
Jason Steele,eng ENG,GK,31-243,37,42,0,0,0
Jeremy Sarmiento,ec ECU,"FW,DF",19-306,2,6,8,11,1
Taylor Richards,eng ENG,"MF,FW",21-135,0,3,15,16,0
Evan Ferguson,ie IRL,MF,17-181,0,0,1,8,0
Jürgen Locadia,nl NED,FW,28-162,0,0,3,3,2
Squad Total,,,27,2386,7452,9129,6167,827
Opponent Total,,,27.5,2144,6672,7330,4794,739
