Player,Nation,Pos,Age,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
Robert Sánchez,es ESP,GK,24-151,31,31,"2,789",0,0,0,0.4
Marc Cucurella,es ESP,DF,23-270,29,29,"2,549",0,1,0.4,2.4
Leandro Trossard,be BEL,"FW,MF",27-135,30,28,"2,459",6,1,5.5,2.2
Joël Veltman,nl NED,DF,30-093,28,27,"2,334",0,1,0.7,1
Neal Maupay,fr FRA,FW,25-247,28,24,"2,125",8,2,7.4,2.2
Lewis Dunk,eng ENG,DF,30-148,23,23,"2,033",1,0,1,0.2
Yves Bissouma,ml MLI,MF,25-231,22,21,"1,796",0,1,0.8,0.6
Pascal Groß,de GER,"MF,DF",30-307,23,20,"1,646",0,3,2.1,3.8
Jakub Moder,pl POL,"MF,FW",23-011,28,19,"1,701",0,3,2.4,1.7
Adam Lallana,eng ENG,MF,33-343,23,18,"1,544",0,1,1.2,0.7
Alexis Mac Allister,ar ARG,"MF,FW",23-115,27,16,"1,607",4,2,3.6,1.2
Tariq Lamptey,eng ENG,"DF,FW",21-200,25,15,"1,462",0,2,0.7,2
Shane Duffy,ie IRL,DF,30-107,18,15,"1,436",1,0,1.3,0.1
Adam Webster,eng ENG,DF,27-104,16,14,"1,173",2,0,1,0.1
Solly March,eng ENG,"DF,FW",27-272,25,12,"1,330",0,1,1.2,2.4
Dan Burn,eng ENG,DF,29-344,13,12,"1,022",1,0,1.3,0
Danny Welbeck,eng ENG,"FW,MF",31-143,19,9,952,3,0,2.6,0.3
Enock Mwepu,zm ZAM,"MF,FW",24-107,14,9,772,2,4,1.6,1.3
Steven Alzate,co COL,MF,23-222,9,5,404,0,0,0.1,0.2
Moisés Caicedo,ec ECU,MF,20-167,2,2,167,0,1,0,0.1
Aaron Connolly,ie IRL,FW,22-080,4,1,156,0,0,0.5,0.4
Jason Steele,eng ENG,GK,31-243,1,1,90,0,0,0,0
Jeremy Sarmiento,ec ECU,"FW,DF",19-306,3,1,24,0,0,0,0
Taylor Richards,eng ENG,"MF,FW",21-135,2,0,25,0,0,0,0
Evan Ferguson,ie IRL,MF,17-181,1,0,23,0,0,0,0
Jürgen Locadia,nl NED,FW,28-162,1,0,23,0,0,0.1,0
Florin Andone,ro ROU,FW,29-007,0,0,,,,,
Michał Karbownik,pl POL,DF,21-036,0,0,,,,,
Marc Leonard,sct SCO,MF,20-120,0,0,,,,,
Thomas Mcgill,eng ENG,GK,22-024,0,0,,,,,
Odeluga Offiah,eng ENG,DF,19-174,0,0,,,,,
Haydon Roberts,eng ENG,DF,19-343,0,0,,,,,
Kjell Scherpen,nl NED,GK,22-085,0,0,,,,,
Ed Turns,eng ENG,DF,19-182,0,0,,,,,
Andi Zeqiri,ch SUI,FW,22-300,0,0,,,,,
Squad Total,,,27,32,352,"2,880",28,23,35.2,23.2
Opponent Total,,,27.5,32,352,"2,880",37,30,40,26.7
