Player,Nation,Pos,Age,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd
Robert Sánchez,es ESP,GK,24-151,31,31,"2,789",0,0,0,0.4,1068,1362,14,0,0,99.3,97.7,44.8,0,0,0
Marc Cucurella,es ESP,DF,23-270,29,29,"2,549",0,1,0.4,2.4,96,614,1036,791,51,91.4,86.1,52.8,27,35,7
Leandro Trossard,be BEL,"FW,MF",27-135,30,28,"2,459",6,1,5.5,2.2,14,153,548,791,149,85.8,79.1,72.2,8,12,14
Joël Veltman,nl NED,DF,30-093,28,27,"2,334",0,1,0.7,1,151,690,862,393,24,89.2,83.7,59.8,44,25,5
Neal Maupay,fr FRA,FW,25-247,28,24,"2,125",8,2,7.4,2.2,8,50,331,465,122,85.2,82.2,68.8,3,9,5
Lewis Dunk,eng ENG,DF,30-148,23,23,"2,033",1,0,1,0.2,248,1033,815,72,23,93.6,94.9,78,9,10,1
Yves Bissouma,ml MLI,MF,25-231,22,21,"1,796",0,1,0.8,0.6,84,368,759,263,15,91.4,92.8,82.4,32,32,3
Pascal Groß,de GER,"MF,DF",30-307,23,20,"1,646",0,3,2.1,3.8,39,219,567,537,41,88.3,83.1,54.7,16,9,2
Jakub Moder,pl POL,"MF,FW",23-011,28,19,"1,701",0,3,2.4,1.7,40,203,436,484,68,82.8,74.6,57.3,19,14,9
Adam Lallana,eng ENG,MF,33-343,23,18,"1,544",0,1,1.2,0.7,44,283,614,274,38,91.5,91.2,66.7,19,15,4
Alexis Mac Allister,ar ARG,"MF,FW",23-115,27,16,"1,607",4,2,3.6,1.2,32,183,518,454,39,86.8,91.5,59.1,22,26,13
Tariq Lamptey,eng ENG,"DF,FW",21-200,25,15,"1,462",0,2,0.7,2,36,212,373,490,42,88.2,80.3,40.3,14,18,4
Shane Duffy,ie IRL,DF,30-107,18,15,"1,436",1,0,1.3,0.1,193,722,468,61,26,92.9,93.6,75.9,12,1,3
Adam Webster,eng ENG,DF,27-104,16,14,"1,173",2,0,1,0.1,105,573,559,104,11,88.4,92.3,61.3,14,3,2
Solly March,eng ENG,"DF,FW",27-272,25,12,"1,330",0,1,1.2,2.4,37,132,280,443,63,84.1,73.2,51.8,12,6,10
Dan Burn,eng ENG,DF,29-344,13,12,"1,022",1,0,1.3,0,100,391,362,64,12,82.1,88.5,69,12,8,4
Danny Welbeck,eng ENG,"FW,MF",31-143,19,9,952,3,0,2.6,0.3,11,26,117,189,58,86.6,83.3,75,0,10,1
Enock Mwepu,zm ZAM,"MF,FW",24-107,14,9,772,2,4,1.6,1.3,22,93,222,152,30,81.1,81.4,52.8,7,11,5
Steven Alzate,co COL,MF,23-222,9,5,404,0,0,0.1,0.2,16,81,168,56,4,90.2,94.4,75,3,5,1
Moisés Caicedo,ec ECU,MF,20-167,2,2,167,0,1,0,0.1,3,13,39,25,4,83.3,64.3,100,0,2,1
Aaron Connolly,ie IRL,FW,22-080,4,1,156,0,0,0.5,0.4,0,0,14,21,4,81.8,85.7,,0,0,0
Jason Steele,eng ENG,GK,31-243,1,1,90,0,0,0,0,37,42,0,0,0,100,100,63.6,0,0,0
Jeremy Sarmiento,ec ECU,"FW,DF",19-306,3,1,24,0,0,0,0,2,6,8,11,1,55.6,100,,1,0,1
Taylor Richards,eng ENG,"MF,FW",21-135,2,0,25,0,0,0,0,0,3,15,16,0,87.5,85.7,100,0,0,0
Evan Ferguson,ie IRL,MF,17-181,1,0,23,0,0,0,0,0,0,1,8,0,75,100,100,0,0,0
Jürgen Locadia,nl NED,FW,28-162,1,0,23,0,0,0.1,0,0,0,3,3,2,,100,,0,1,0
Squad Total,,,27,32,352,"2,880",28,23,35.2,23.2,2386,7452,9129,6167,827,88.6,88,61,274,252,95
Opponent Total,,,27.5,32,352,"2,880",37,30,40,26.7,2144,6672,7330,4794,739,86.9,84.9,54.8,289,208,73
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
