Player,Nation,Pos,Age,Tackles_Def_3rd,Tackles_Mid 3rd,Tackles_Att_3rd,Pressures_Def_3rd,Pressure_Mid_3rd,Pressure_Att_3rd,Passing_Total_Cmp%,Short_Cmp%,Medium_Cmp%,Long_Cmp%,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Matches_Played,Starts,Minutes_Played,Gls,Ast,xG,xA
David de Gea,es ESP,GK,31-160,0,0,0,0,0,0,70.6,98.9,97.2,47.4,771,831,1,0,0,31,31,"2,790",0,0,0,0
Bruno Fernandes,pt POR,MF,27-220,22,16,7,90,241,167,73.6,86.8,78.9,52,51,286,886,857,97,29,28,"2,488",9,6,7.8,8.2
Harry Maguire,eng ENG,DF,29-042,20,10,4,103,44,6,87.2,92,91.9,74.9,230,800,805,92,36,26,25,"2,224",1,0,1.7,0.1
Scott McTominay,sct SCO,MF,25-129,34,23,5,142,206,43,85.1,86.6,88.4,81.3,70,337,764,268,22,25,23,"1,937",1,1,1,1.4
Fred,br BRA,MF,29-042,29,27,7,181,281,59,85,88.2,89.1,79,74,374,881,279,15,25,23,"1,889",4,4,1.4,1.8
Cristiano Ronaldo,pt POR,FW,37-070,1,4,3,15,65,69,81.4,86.1,82.2,76.9,27,72,413,477,151,25,22,"2,006",15,3,14.7,13.2
Victor Lindelöf,se SWE,DF,27-273,8,8,0,53,44,7,88.8,92.3,94,75.4,189,689,510,47,10,21,19,"1,725",0,2,0.2,0.5
Aaron Wan-Bissaka,eng ENG,DF,24-141,25,12,7,102,74,41,83.4,91.6,86.6,53.5,80,456,581,360,26,19,19,"1,703",0,0,0.2,0.9
Luke Shaw,eng ENG,DF,26-278,9,10,3,83,72,35,80,90.9,84.1,51.1,61,318,634,473,16,20,19,"1,601",0,3,0.2,3.3
Jadon Sancho,eng ENG,"FW,MF",22-022,7,6,1,60,124,72,83.1,88,83.3,65.1,17,152,453,567,100,26,18,"1,675",3,3,3.3,4.2
Raphaël Varane,fr FRA,DF,28-356,16,6,3,93,39,4,90.1,94.8,93.2,80.6,133,513,594,34,12,18,16,"1,471",0,1,0.7,0.1
Mason Greenwood,eng ENG,"FW,MF",20-197,8,2,6,35,59,60,78.8,86.4,84.1,57.3,6,79,295,338,60,18,16,"1,271",5,1,4.4,1.6
Paul Pogba,fr FRA,"MF,FW",29-032,9,9,2,59,125,74,83.6,87.1,88.7,79,26,166,599,314,49,18,14,"1,267",1,9,2.4,3.5
Diogo Dalot,pt POR,DF,23-029,17,10,6,66,64,28,80.2,85.5,87.5,61.8,43,276,470,242,21,17,12,"1,183",0,0,0.5,0.9
Alex Telles,br BRA,DF,29-122,27,7,1,69,44,19,74.1,87.9,81.1,32.3,44,264,430,334,20,15,12,"1,137",0,3,0.4,1.4
Marcus Rashford,eng ENG,"FW,MF",24-167,2,4,1,30,93,77,69.3,76.4,71,43.3,7,49,211,285,69,21,11,"1,036",4,2,2.5,2
Nemanja Matić,rs SRB,MF,33-258,14,8,1,66,87,11,87,87.9,90.8,84.5,41,256,563,144,5,17,11,995,0,2,0.1,0.9
Anthony Elanga,se SWE,FW,19-354,8,6,2,50,73,44,79,90,78.2,62.5,3,63,142,189,42,14,7,667,2,1,2.5,1.5
Edinson Cavani,uy URU,FW,35-061,0,3,1,13,31,33,78.5,88,68.8,50,10,43,107,98,27,12,6,615,2,1,3.1,1.1
Eric Bailly,ci CIV,DF,28-004,6,2,0,14,6,1,80,92.3,86.7,63.6,26,73,41,3,0,4,3,217,0,0,0,0
Anthony Martial,fr FRA,FW,26-132,0,0,1,6,9,13,77.6,80,84.8,50,1,9,40,66,19,8,2,212,1,0,0.4,0.1
Daniel James,wls WAL,FW,24-157,0,4,0,5,13,13,68.8,75,60,0,1,2,22,33,9,2,2,126,1,0,0.2,0
Jesse Lingard,eng ENG,FW,29-122,2,3,1,15,23,27,83.3,95.7,70.8,25,1,11,41,61,9,13,1,210,2,0,0.7,0.4
Phil Jones,eng ENG,DF,30-054,2,0,1,3,7,1,92,93.8,96.6,66.7,9,21,35,6,0,1,1,90,0,0,0,0
Donny van de Beek,nl NED,MF,24-363,3,2,0,5,6,5,78.1,77.8,80,100,2,19,21,15,4,8,0,75,1,0,0.7,0.5
Juan Mata,es ESP,MF,33-353,0,2,1,5,2,1,80,84.6,85.7,50,0,5,9,17,2,1,0,27,0,0,0,0
Amad Diallo,ci CIV,FW,19-279,5,4,1,9,3,8,81.6,88.4,87.3,63.6,4,3,5,25,3,0,0,"1,675",0,0,0,0
Tom Heaton,eng ENG,GK,36-001,5,4,1,5,8,5,79.4,89,86.1,56.6,5,4,5,4,5,0,0,"1,601",0,0,0,0
Dean Henderson,eng ENG,GK,25-035,5,4,1,4,4,3,45.9,67,87,56,4,5,3,2,5,0,0,"1,137",0,0,0,0
Hannibal Mejbri,tn TUN,MF,19-085,5,4,1,5,8,5,43,45,75,45,2,2,4,4,4,0,0,"1,471",0,0,0,0
Andreas Pereira,br BRA,MF,26-105,5,4,1,4,6,4,98,56,34,23,2,5,3,5,2,0,0,"1,703",0,0,0,0
Squad Total,eng ENG,DF,27.9,294,204,69,1390,1861,935,81.6,88.4,87.3,63.6,1940,6183,9568,5639,840,31,341,"2,790",48,40,46.9,35.2
Opponent Total,,,27.7,293,234,97,1747,2062,1098,79.4,89,86.1,56.6,2210,6154,8705,4700,720,31,341,"2,790",39,31,42.4,28.7
